,Number of Accidents,Persons Killed,People Injured,Traffic Voilation type,Year,States
0,20612.0,6768.0,23497,1,2017,0
1,31.0,17.0,20,1,2017,1
2,4590.0,1721.0,3884,1,2017,2
3,5749.0,3716.0,3879,1,2017,3
4,8912.0,2592.0,8037,1,2017,4
5,3536.0,316.0,1747,1,2017,5
6,15759.0,5948.0,13866,1,2017,6
7,4481.0,1962.0,4241,1,2017,7
8,628.0,256.0,1054,1,2017,8
9,2947.0,531.0,3866,1,2017,9
10,2629.0,1800.0,1921,1,2017,10
11,37984.0,9584.0,47278,1,2017,11
12,34119.0,3679.0,37715,1,2017,12
13,37513.0,7846.0,41245,1,2017,13
14,25164.0,8819.0,23273,1,2017,14
15,156.0,42.0,280,1,2017,15
16,65.0,17.0,33,1,2017,16
17,16.0,12.0,8,1,2017,17
18,170.0,15.0,124,1,2017,18
19,5867.0,2612.0,6188,1,2017,19
20,3323.0,2363.0,2254,1,2017,20
21,16809.0,8247.0,17180,1,2017,21
22,79.0,48.0,192,1,2017,22
23,51565.0,12570.0,59856,1,2017,23
24,21135.0,6082.0,22593,1,2017,24
25,432.0,132.0,631,1,2017,25
26,1095.0,692.0,955,1,2017,26
27,14276.0,7446.0,9653,1,2017,27
28,3926.0,1882.0,3618,1,2017,28
29,133.0,15.0,208,1,2017,29
30,325.0,102.0,291,1,2017,30
31,43.0,25.0,26,1,2017,31
32,61.0,30.0,48,1,2017,32
33,2664.0,651.0,2728,1,2017,33
34,0.0,0.0,0,1,2017,34
35,654.0,75.0,694,1,2017,35
36,2064.0,156.0,466,2,2017,0
37,19.0,13.0,21,2,2017,1
38,373.0,142.0,353,2,2017,2
39,0.0,0.0,0,2,2017,3
40,86.0,17.0,119,2,2017,4
41,10.0,0.0,7,2,2017,5
42,65.0,18.0,91,2,2017,6
43,180.0,86.0,168,2,2017,7
44,214.0,89.0,457,2,2017,8
45,1.0,0.0,1,2,2017,9
46,801.0,430.0,512,2,2017,10
47,169.0,23.0,212,2,2017,11
48,133.0,7.0,178,2,2017,12
49,1049.0,217.0,1221,2,2017,13
50,863.0,293.0,830,2,2017,14
51,44.0,9.0,71,2,2017,15
52,132.0,89.0,53,2,2017,16
53,16.0,13.0,21,2,2017,17
54,157.0,3.0,120,2,2017,18
55,1533.0,735.0,1426,2,2017,19
56,129.0,95.0,70,2,2017,20
57,421.0,142.0,349,2,2017,21
58,32.0,5.0,44,2,2017,22
59,1833.0,403.0,2106,2,2017,23
60,163.0,34.0,118,2,2017,24
61,11.0,2.0,17,2,2017,25
62,56.0,30.0,36,2,2017,26
63,3336.0,1687.0,2524,2,2017,27
64,16.0,2.0,13,2,2017,28
65,13.0,2.0,12,2,2017,29
66,10.0,3.0,3,2,2017,30
67,1.0,4.0,5,2,2017,31
68,12.0,3.0,17,2,2017,32
69,124.0,24.0,126,2,2017,33
70,0.0,0.0,0,2,2017,34
71,5.0,0.0,9,2,2017,35
72,1073.0,315.0,1485,3,2017,0
73,41.0,16.0,70,3,2017,1
74,579.0,212.0,481,3,2017,2
75,1290.0,752.0,997,3,2017,3
76,1357.0,332.0,1375,3,2017,4
77,88.0,10.0,38,3,2017,5
78,951.0,377.0,1037,3,2017,6
79,432.0,185.0,451,3,2017,7
80,1882.0,688.0,3104,3,2017,8
81,65.0,11.0,71,3,2017,9
82,379.0,218.0,301,3,2017,10
83,1422.0,207.0,2069,3,2017,11
84,1254.0,109.0,1431,3,2017,12
85,4024.0,610.0,4085,3,2017,13
86,2411.0,657.0,1840,3,2017,14
87,56.0,5.0,89,3,2017,15
88,151.0,32.0,89,3,2017,16
89,3.0,2.0,2,3,2017,17
90,36.0,2.0,8,3,2017,18
91,842.0,368.0,984,3,2017,19
92,602.0,387.0,485,3,2017,20
93,1076.0,474.0,1079,3,2017,21
94,11.0,3.0,26,3,2017,22
95,3116.0,656.0,3666,3,2017,23
96,263.0,67.0,305,3,2017,24
97,47.0,20.0,50,3,2017,25
98,109.0,43.0,98,3,2017,26
99,4835.0,2562.0,3609,3,2017,27
100,278.0,121.0,317,3,2017,28
101,18.0,1.0,19,3,2017,29
102,2.0,1.0,4,3,2017,30
103,3.0,1.0,2,3,2017,31
104,4.0,2.0,2,3,2017,32
105,308.0,51.0,301,3,2017,33
106,0.0,0.0,0,3,2017,34
107,140.0,30.0,154,3,2017,35
108,194.0,104.0,195,4,2017,0
109,0.0,0.0,0,4,2017,1
110,98.0,27.0,78,4,2017,2
111,318.0,184.0,139,4,2017,3
112,372.0,60.0,362,4,2017,4
113,4.0,0.0,1,4,2017,5
114,46.0,21.0,45,4,2017,6
115,147.0,53.0,134,4,2017,7
116,0.0,0.0,0,4,2017,8
117,0.0,0.0,0,4,2017,9
118,169.0,120.0,101,4,2017,10
119,105.0,11.0,124,4,2017,11
120,406.0,23.0,412,4,2017,12
121,277.0,62.0,264,4,2017,13
122,119.0,40.0,95,4,2017,14
123,0.0,0.0,0,4,2017,15
124,104.0,7.0,63,4,2017,16
125,0.0,0.0,0,4,2017,17
126,0.0,0.0,0,4,2017,18
127,174.0,62.0,144,4,2017,19
128,84.0,67.0,97,4,2017,20
129,15.0,3.0,9,4,2017,21
130,0.0,0.0,0,4,2017,22
131,2381.0,405.0,2515,4,2017,23
132,0.0,0.0,0,4,2017,24
133,0.0,0.0,0,4,2017,25
134,14.0,4.0,15,4,2017,26
135,912.0,444.0,800,4,2017,27
136,122.0,68.0,128,4,2017,28
137,0.0,0.0,0,4,2017,29
138,4.0,1.0,3,4,2017,30
139,0.0,0.0,0,4,2017,31
140,0.0,0.0,0,4,2017,32
141,255.0,60.0,250,4,2017,33
142,0.0,0.0,0,4,2017,34
143,4.0,0.0,3,4,2017,35
144,108.0,51.0,109,5,2017,0
145,0.0,0.0,0,5,2017,1
146,200.0,74.0,199,5,2017,2
147,408.0,217.0,254,5,2017,3
148,127.0,28.0,203,5,2017,4
149,0.0,0.0,0,5,2017,5
150,169.0,59.0,155,5,2017,6
151,89.0,40.0,90,5,2017,7
152,19.0,8.0,41,5,2017,8
153,1.0,0.0,0,5,2017,9
154,226.0,77.0,180,5,2017,10
155,97.0,31.0,206,5,2017,11
156,1.0,0.0,1,5,2017,12
157,717.0,114.0,1012,5,2017,13
158,745.0,282.0,535,5,2017,14
159,53.0,6.0,86,5,2017,15
160,99.0,21.0,42,5,2017,16
161,0.0,0.0,0,5,2017,17
162,23.0,0.0,0,5,2017,18
163,691.0,257.0,776,5,2017,19
164,86.0,52.0,93,5,2017,20
165,24.0,6.0,28,5,2017,21
166,1.0,1.0,1,5,2017,22
167,1189.0,242.0,1285,5,2017,23
168,85.0,35.0,85,5,2017,24
169,0.0,0.0,0,5,2017,25
170,41.0,22.0,39,5,2017,26
171,3219.0,1512.0,2306,5,2017,27
172,67.0,33.0,62,5,2017,28
173,0.0,0.0,0,5,2017,29
174,1.0,0.0,1,5,2017,30
175,0.0,0.0,0,5,2017,31
176,1.0,1.0,1,5,2017,32
177,39.0,3.0,40,5,2017,33
178,0.0,0.0,0,5,2017,34
179,0.0,0.0,0,5,2017,35
180,17740.0,6196.0,18119,1,2018,0
181,135.0,79.0,122,1,2018,1
182,2532.0,995.0,1436,1,2018,2
183,8116.0,5809.0,5378,1,2018,3
184,12813.0,4270.0,11824,1,2018,4
185,2853.0,216.0,1319,1,2018,5
186,16361.0,6988.0,14865,1,2018,6
187,5922.0,2657.0,4923,1,2018,7
188,1445.0,536.0,2385,1,2018,8
189,5915.0,971.0,7743,1,2018,9
190,3064.0,2052.0,2288,1,2018,10
191,32269.0,8714.0,35886,1,2018,11
192,29776.0,2985.0,33989,1,2018,12
193,39809.0,8635.0,42736,1,2018,13
194,9956.0,3926.0,8683,1,2018,14
195,90.0,21.0,159,1,2018,15
196,64.0,43.0,20,1,2018,16
197,18.0,14.0,11,1,2018,17
198,199.0,15.0,135,1,2018,18
199,7474.0,3644.0,7875,1,2018,19
200,3335.0,2540.0,1621,1,2018,20
201,20132.0,9618.0,19895,1,2018,21
202,71.0,33.0,44,1,2018,22
203,46113.0,9224.0,53348,1,2018,23
204,20890.0,6212.0,22414,1,2018,24
205,426.0,163.0,551,1,2018,25
206,900.0,569.0,878,1,2018,26
207,13843.0,7098.0,9371,1,2018,27
208,4187.0,2326.0,4375,1,2018,28
209,148.0,7.0,186,1,2018,29
210,280.0,93.0,267,1,2018,30
