,Number of Accidents,Persons Killed,People Injured,Traffic Voilation type,Year,States
0,31.0,17.0,20,1,2017,0
1,628.0,256.0,1054,1,2017,1
2,156.0,42.0,280,1,2017,2
3,65.0,17.0,33,1,2017,3
4,16.0,12.0,8,1,2017,4
5,170.0,15.0,124,1,2017,5
6,79.0,48.0,192,1,2017,6
7,432.0,132.0,631,1,2017,7
8,133.0,15.0,208,1,2017,8
9,325.0,102.0,291,1,2017,9
10,43.0,25.0,26,1,2017,10
11,61.0,30.0,48,1,2017,11
12,0.0,0.0,0,1,2017,12
13,654.0,75.0,694,1,2017,13
14,19.0,13.0,21,2,2017,0
15,373.0,142.0,353,2,2017,14
16,0.0,0.0,0,2,2017,15
17,86.0,17.0,119,2,2017,16
18,10.0,0.0,7,2,2017,17
19,65.0,18.0,91,2,2017,18
20,180.0,86.0,168,2,2017,19
21,214.0,89.0,457,2,2017,1
22,1.0,0.0,1,2,2017,20
23,801.0,430.0,512,2,2017,21
24,169.0,23.0,212,2,2017,22
25,133.0,7.0,178,2,2017,23
26,1049.0,217.0,1221,2,2017,24
27,863.0,293.0,830,2,2017,25
28,44.0,9.0,71,2,2017,2
29,132.0,89.0,53,2,2017,3
30,16.0,13.0,21,2,2017,4
31,157.0,3.0,120,2,2017,5
32,129.0,95.0,70,2,2017,26
33,421.0,142.0,349,2,2017,27
34,32.0,5.0,44,2,2017,6
35,163.0,34.0,118,2,2017,28
36,11.0,2.0,17,2,2017,7
37,56.0,30.0,36,2,2017,29
38,16.0,2.0,13,2,2017,30
39,13.0,2.0,12,2,2017,8
40,10.0,3.0,3,2,2017,9
41,1.0,4.0,5,2,2017,10
42,12.0,3.0,17,2,2017,11
43,124.0,24.0,126,2,2017,31
44,0.0,0.0,0,2,2017,12
45,5.0,0.0,9,2,2017,13
46,41.0,16.0,70,3,2017,0
47,579.0,212.0,481,3,2017,14
48,88.0,10.0,38,3,2017,17
49,951.0,377.0,1037,3,2017,18
50,432.0,185.0,451,3,2017,19
51,65.0,11.0,71,3,2017,20
52,379.0,218.0,301,3,2017,21
53,56.0,5.0,89,3,2017,2
54,151.0,32.0,89,3,2017,3
55,3.0,2.0,2,3,2017,4
56,36.0,2.0,8,3,2017,5
57,842.0,368.0,984,3,2017,32
58,602.0,387.0,485,3,2017,26
59,11.0,3.0,26,3,2017,6
60,263.0,67.0,305,3,2017,28
61,47.0,20.0,50,3,2017,7
62,109.0,43.0,98,3,2017,29
63,278.0,121.0,317,3,2017,30
64,18.0,1.0,19,3,2017,8
65,2.0,1.0,4,3,2017,9
66,3.0,1.0,2,3,2017,10
67,4.0,2.0,2,3,2017,11
68,308.0,51.0,301,3,2017,31
69,0.0,0.0,0,3,2017,12
70,140.0,30.0,154,3,2017,13
71,194.0,104.0,195,4,2017,33
72,0.0,0.0,0,4,2017,0
73,98.0,27.0,78,4,2017,14
74,318.0,184.0,139,4,2017,15
75,372.0,60.0,362,4,2017,16
76,4.0,0.0,1,4,2017,17
77,46.0,21.0,45,4,2017,18
78,147.0,53.0,134,4,2017,19
79,0.0,0.0,0,4,2017,1
80,0.0,0.0,0,4,2017,20
81,169.0,120.0,101,4,2017,21
82,105.0,11.0,124,4,2017,22
83,406.0,23.0,412,4,2017,23
84,277.0,62.0,264,4,2017,24
85,119.0,40.0,95,4,2017,25
86,0.0,0.0,0,4,2017,2
87,104.0,7.0,63,4,2017,3
88,0.0,0.0,0,4,2017,4
89,0.0,0.0,0,4,2017,5
90,174.0,62.0,144,4,2017,32
91,84.0,67.0,97,4,2017,26
92,15.0,3.0,9,4,2017,27
93,0.0,0.0,0,4,2017,6
94,0.0,0.0,0,4,2017,28
95,0.0,0.0,0,4,2017,7
96,14.0,4.0,15,4,2017,29
97,912.0,444.0,800,4,2017,34
98,122.0,68.0,128,4,2017,30
99,0.0,0.0,0,4,2017,8
100,4.0,1.0,3,4,2017,9
101,0.0,0.0,0,4,2017,10
102,0.0,0.0,0,4,2017,11
103,255.0,60.0,250,4,2017,31
104,0.0,0.0,0,4,2017,12
105,4.0,0.0,3,4,2017,13
106,108.0,51.0,109,5,2017,33
107,0.0,0.0,0,5,2017,0
108,200.0,74.0,199,5,2017,14
109,408.0,217.0,254,5,2017,15
110,127.0,28.0,203,5,2017,16
111,0.0,0.0,0,5,2017,17
112,169.0,59.0,155,5,2017,18
113,89.0,40.0,90,5,2017,19
114,19.0,8.0,41,5,2017,1
115,1.0,0.0,0,5,2017,20
116,226.0,77.0,180,5,2017,21
117,97.0,31.0,206,5,2017,22
118,1.0,0.0,1,5,2017,23
119,717.0,114.0,1012,5,2017,24
120,745.0,282.0,535,5,2017,25
121,53.0,6.0,86,5,2017,2
