States/UTs,Number of Accidents,Persons Killed,People Injured,Traffic Voilation type,Year
Andhra Pradesh,20612,6768,23497,OverSpeeding,2017
Arunachal Pradesh,31,17,20,OverSpeeding,2017
Assam,4590,1721,3884,OverSpeeding,2017
Bihar,5749,3716,3879,OverSpeeding,2017
Chhattisgarh,8912,2592,8037,OverSpeeding,2017
Goa,3536,316,1747,OverSpeeding,2017
Gujarat,15759,5948,13866,OverSpeeding,2017
Haryana,4481,1962,4241,OverSpeeding,2017
Himachal Pradesh,628,256,1054,OverSpeeding,2017
Jammu & Kashmir,2947,531,3866,OverSpeeding,2017
Jharkhand,2629,1800,1921,OverSpeeding,2017
Karnataka,37984,9584,47278,OverSpeeding,2017
Kerala,34119,3679,37715,OverSpeeding,2017
Madhya Pradesh,37513,7846,41245,OverSpeeding,2017
Maharashtra,25164,8819,23273,OverSpeeding,2017
Manipur,156,42,280,OverSpeeding,2017
Meghalaya,65,17,33,OverSpeeding,2017
Mizoram,16,12,8,OverSpeeding,2017
Nagaland,170,15,124,OverSpeeding,2017
Orissa,5867,2612,6188,OverSpeeding,2017
Punjab,3323,2363,2254,OverSpeeding,2017
Rajasthan,16809,8247,17180,OverSpeeding,2017
Sikkim,79,48,192,OverSpeeding,2017
Tamil Nadu,51565,12570,59856,OverSpeeding,2017
Telangana,21135,6082,22593,OverSpeeding,2017
Tripura,432,132,631,OverSpeeding,2017
Uttarakhand,1095,692,955,OverSpeeding,2017
Uttar Pradesh,14276,7446,9653,OverSpeeding,2017
West Bengal,3926,1882,3618,OverSpeeding,2017
A & N Islands,133,15,208,OverSpeeding,2017
Chandigarh,325,102,291,OverSpeeding,2017
D & N Haveli,43,25,26,OverSpeeding,2017
Daman & Diu,61,30,48,OverSpeeding,2017
Delhi,2664,651,2728,OverSpeeding,2017
Lakshadweep,0,0,0,OverSpeeding,2017
Puducherry,654,75,694,OverSpeeding,2017
Andhra Pradesh,2064,156,466,Drunken Driving,2017
Arunachal Pradesh,19,13,21,Drunken Driving,2017
