,accidents,killed,injured,voilation,year,state
0,1977.39,643.84,1982.1,1,2017,0
1,31.0,17.0,20.0,1,2017,1
2,1977.39,643.84,1982.1,1,2017,2
3,1977.39,643.84,1982.1,1,2017,3
4,1977.39,643.84,1982.1,1,2017,4
5,1977.39,316.0,1982.1,1,2017,5
6,1977.39,643.84,1982.1,1,2017,6
7,1977.39,643.84,1982.1,1,2017,7
8,628.0,256.0,1982.1,1,2017,8
9,1977.39,643.84,1982.1,1,2017,9
10,1977.39,643.84,1982.1,1,2017,10
11,1977.39,643.84,1982.1,1,2017,11
12,1977.39,643.84,1982.1,1,2017,12
13,1977.39,643.84,1982.1,1,2017,13
14,1977.39,643.84,1982.1,1,2017,14
15,156.0,42.0,280.0,1,2017,15
16,65.0,17.0,33.0,1,2017,16
17,16.0,12.0,8.0,1,2017,17
18,170.0,15.0,124.0,1,2017,18
19,1977.39,643.84,1982.1,1,2017,19
20,1977.39,643.84,1982.1,1,2017,20
21,1977.39,643.84,1982.1,1,2017,21
22,79.0,48.0,192.0,1,2017,22
23,1977.39,643.84,1982.1,1,2017,23
24,1977.39,643.84,1982.1,1,2017,24
25,432.0,132.0,631.0,1,2017,25
26,1977.39,643.84,955.0,1,2017,26
27,1977.39,643.84,1982.1,1,2017,27
28,1977.39,643.84,1982.1,1,2017,28
29,133.0,15.0,208.0,1,2017,29
30,325.0,102.0,291.0,1,2017,30
31,43.0,25.0,26.0,1,2017,31
32,61.0,30.0,48.0,1,2017,32
33,1977.39,643.84,1982.1,1,2017,33
34,0.0,0.0,0.0,1,2017,34
35,654.0,75.0,694.0,1,2017,35
36,1977.39,156.0,466.0,2,2017,0
37,19.0,13.0,21.0,2,2017,1
38,373.0,142.0,353.0,2,2017,2
39,0.0,0.0,0.0,2,2017,3
40,86.0,17.0,119.0,2,2017,4
41,10.0,0.0,7.0,2,2017,5
42,65.0,18.0,91.0,2,2017,6
43,180.0,86.0,168.0,2,2017,7
44,214.0,89.0,457.0,2,2017,8
45,1.0,0.0,1.0,2,2017,9
46,801.0,643.84,512.0,2,2017,10
47,169.0,23.0,212.0,2,2017,11
48,133.0,7.0,178.0,2,2017,12
49,1049.0,217.0,1982.1,2,2017,13
50,863.0,293.0,830.0,2,2017,14
51,44.0,9.0,71.0,2,2017,15
52,132.0,89.0,53.0,2,2017,16
53,16.0,13.0,21.0,2,2017,17
54,157.0,3.0,120.0,2,2017,18
55,1977.39,643.84,1982.1,2,2017,19
56,129.0,95.0,70.0,2,2017,20
57,421.0,142.0,349.0,2,2017,21
58,32.0,5.0,44.0,2,2017,22
59,1977.39,643.84,1982.1,2,2017,23
60,163.0,34.0,118.0,2,2017,24
61,11.0,2.0,17.0,2,2017,25
62,56.0,30.0,36.0,2,2017,26
63,1977.39,643.84,1982.1,2,2017,27
64,16.0,2.0,13.0,2,2017,28
