,states,accidents,killed,injured,vehicle,year
0,1,9409.0,2343.0,7712.0,1,2017.0
1,2,62.0,32.0,67.0,1,2017.0
2,3,2125.0,772.0,1567.0,1,2017.0
3,4,2035.0,1318.0,1219.0,1,2017.0
4,5,4696.0,1386.0,4012.0,1,2017.0
5,6,1567.0,164.0,1036.0,1,2017.0
6,7,6086.0,2190.0,5138.0,1,2017.0
7,8,2528.0,1006.0,2291.0,1,2017.0
8,9,815.0,336.0,1531.0,1,2017.0
9,10,1093.0,142.0,1158.0,1,2017.0
10,11,1718.0,1065.0,1139.0,1,2017.0
11,12,15752.0,4029.0,17831.0,1,2017.0
12,13,14821.0,1371.0,15305.0,1,2017.0
13,14,21458.0,3035.0,22262.0,1,2017.0
14,15,11869.0,4114.0,10235.0,1,2017.0
15,16,141.0,15.0,223.0,1,2017.0
16,17,117.0,30.0,55.0,1,2017.0
17,18,10.0,11.0,8.0,1,2017.0
18,19,128.0,11.0,82.0,1,2017.0
19,20,3886.0,1744.0,3379.0,1,2017.0
20,21,2375.0,1666.0,1352.0,1,2017.0
21,22,5456.0,2146.0,4997.0,1,2017.0
22,23,24.0,10.0,29.0,1,2017.0
23,24,25393.0,5322.0,26235.0,1,2017.0
24,25,7160.0,2244.0,7119.0,1,2017.0
25,26,144.0,36.0,143.0,1,2017.0
26,27,409.0,219.0,322.0,1,2017.0
27,28,11329.0,5805.0,7662.0,1,2017.0
28,29,2346.0,1067.0,1874.0,1,2017.0
29,30,84.0,7.0,95.0,1,2017.0
30,31,41.0,14.0,35.0,1,2017.0
31,32,15.0,10.0,9.0,1,2017.0
32,33,33.0,17.0,33.0,1,2017.0
33,34,1700.0,311.0,1777.0,1,2017.0
34,35,0.0,0.0,0.0,1,2017.0
35,36,898.0,104.0,975.0,1,2017.0
36,1,3583.0,817.0,5287.0,2,2017.0
37,2,21.0,9.0,37.0,2,2017.0
38,3,480.0,149.0,530.0,2,2017.0
39,4,631.0,372.0,553.0,2,2017.0
40,5,434.0,52.0,392.0,2,2017.0
41,6,5.0,0.0,1.0,2,2017.0
42,7,1685.0,498.0,1548.0,2,2017.0
43,8,342.0,113.0,402.0,2,2017.0
44,9,15.0,7.0,36.0,2,2017.0
45,10,80.0,6.0,122.0,2,2017.0
46,11,377.0,180.0,381.0,2,2017.0
47,12,2415.0,481.0,3699.0,2,2017.0
48,13,4402.0,303.0,5074.0,2,2017.0
