States/UTs,Number of Accidents,Persons Killed,People Injured,Impacting Vehicle Type,Year,
Andhra Pradesh,9409,2343,7712,Two Wheeler,2017,
Arunachal Pradesh,62,32,67,Two Wheeler,2017,
Assam,2125,772,1567,Two Wheeler,2017,
Bihar,2035,1318,1219,Two Wheeler,2017,
Chhattisgarh,4696,1386,4012,Two Wheeler,2017,
Goa,1567,164,1036,Two Wheeler,2017,
Gujarat,6086,2190,5138,Two Wheeler,2017,
Haryana,2528,1006,2291,Two Wheeler,2017,
Himachal Pradesh,815,336,1531,Two Wheeler,2017,
Jammu & Kashmir,1093,142,1158,Two Wheeler,2017,
Jharkhand,1718,1065,1139,Two Wheeler,2017,
Karnataka,15752,4029,17831,Two Wheeler,2017,
Kerala,14821,1371,15305,Two Wheeler,2017,
Madhya Pradesh,21458,3035,22262,Two Wheeler,2017,
Maharashtra,11869,4114,10235,Two Wheeler,2017,
Manipur,141,15,223,Two Wheeler,2017,
Meghalaya,117,30,55,Two Wheeler,2017,
Mizoram,10,11,8,Two Wheeler,2017,
Nagaland,128,11,82,Two Wheeler,2017,
Odisha,3886,1744,3379,Two Wheeler,2017,
Punjab,2375,1666,1352,Two Wheeler,2017,
Rajasthan,5456,2146,4997,Two Wheeler,2017,
Sikkim,24,10,29,Two Wheeler,2017,
Tamil Nadu,25393,5322,26235,Two Wheeler,2017,
Telangana,7160,2244,7119,Two Wheeler,2017,
Tripura,144,36,143,Two Wheeler,2017,
Uttarakhand,409,219,322,Two Wheeler,2017,
Uttar Pradesh,11329,5805,7662,Two Wheeler,2017,
West Bengal,2346,1067,1874,Two Wheeler,2017,
Andaman & Nicobar Islands,84,7,95,Two Wheeler,2017,
Chandigarh,41,14,35,Two Wheeler,2017,
Dadra & Nagar Haveli,15,10,9,Two Wheeler,2017,
Daman & Diu,33,17,33,Two Wheeler,2017,
Delhi,1700,311,1777,Two Wheeler,2017,
Lakshadweep,0,0,0,Two Wheeler,2017,
Puducherry,898,104,975,Two Wheeler,2017,
Andhra Pradesh,3583,817,5287,Auto rickshaw,2017,
Arunachal Pradesh,21,9,37,Auto rickshaw,2017,
Assam,480,149,530,Auto rickshaw,2017,
Bihar,631,372,553,Auto rickshaw,2017,
Chhattisgarh,434,52,392,Auto rickshaw,2017,
Goa,5,0,1,Auto rickshaw,2017,
Gujarat,1685,498,1548,Auto rickshaw,2017,
Haryana,342,113,402,Auto rickshaw,2017,
Himachal Pradesh,15,7,36,Auto rickshaw,2017,
Jammu & Kashmir,80,6,122,Auto rickshaw,2017,
Jharkhand,377,180,381,Auto rickshaw,2017,
Karnataka,2415,481,3699,Auto rickshaw,2017,
Kerala,4402,303,5074,Auto rickshaw,2017,
Madhya Pradesh,2707,247,3224,Auto rickshaw,2017,
Maharashtra,2331,672,2373,Auto rickshaw,2017,
Manipur,36,3,90,Auto rickshaw,2017,
Meghalaya,50,17,25,Auto rickshaw,2017,
Mizoram,1,1,0,Auto rickshaw,2017,
Nagaland,67,1,73,Auto rickshaw,2017,
Odisha,562,187,882,Auto rickshaw,2017,
Punjab,207,150,269,Auto rickshaw,2017,
Rajasthan,402,182,572,Auto rickshaw,2017,
Sikkim,84,50,0,Auto rickshaw,2017,
Tamil Nadu,3000,478,3799,Auto rickshaw,2017,
Telangana,2263,514,3426,Auto rickshaw,2017,
Tripura,66,14,75,Auto rickshaw,2017,
Uttarakhand,56,21,75,Auto rickshaw,2017,
Uttar Pradesh,2301,1080,1945,Auto rickshaw,2017,
West Bengal,280,96,294,Auto rickshaw,2017,
Andaman & Nicobar Islands,8,0,15,Auto rickshaw,2017,
Chandigarh,23,7,20,Auto rickshaw,2017,
Dadra & Nagar Haveli,3,3,12,Auto rickshaw,2017,
Daman & Diu,2,1,3,Auto rickshaw,2017,
Delhi,361,50,393,Auto rickshaw,2017,
Lakshadweep,0,0,0,Auto rickshaw,2017,
Puducherry,71,1,55,Auto rickshaw,2017,
Andhra Pradesh,4531,1258,5712,Car/Jeep/Taxi,2017,
Arunachal Pradesh,46,23,82,Car/Jeep/Taxi,2017,
Assam,1864,656,1583,Car/Jeep/Taxi,2017,
Bihar,1381,831,1078,Car/Jeep/Taxi,2017,
Chhattisgarh,2534,563,2632,Car/Jeep/Taxi,2017,
Goa,1474,82,557,Car/Jeep/Taxi,2017,
Gujarat,4963,1713,4385,Car/Jeep/Taxi,2017,
Haryana,3265,1310,3136,Car/Jeep/Taxi,2017,
Himachal Pradesh,1469,519,2342,Car/Jeep/Taxi,2017,
Jammu & Kashmir,1462,226,1962,Car/Jeep/Taxi,2017,
Jharkhand,618,383,507,Car/Jeep/Taxi,2017,
Karnataka,10286,2120,13107,Car/Jeep/Taxi,2017,
Kerala,11298,1001,13380,Car/Jeep/Taxi,2017,
Madhya Pradesh,11557,2143,12620,Car/Jeep/Taxi,2017,
Maharashtra,7470,1928,7418,Car/Jeep/Taxi,2017,
Manipur,244,39,450,Car/Jeep/Taxi,2017,
Meghalaya,220,52,97,Car/Jeep/Taxi,2017,
Mizoram,24,20,35,Car/Jeep/Taxi,2017,
Nagaland,157,7,107,Car/Jeep/Taxi,2017,
Odisha,2161,919,2339,Car/Jeep/Taxi,2017,
Punjab,1533,1084,1131,Car/Jeep/Taxi,2017,
Rajasthan,7206,3199,7397,Car/Jeep/Taxi,2017,
Sikkim,49,3,355,Car/Jeep/Taxi,2017,
Tamil Nadu,18748,3994,23492,Car/Jeep/Taxi,2017,
Telangana,5455,998,5928,Car/Jeep/Taxi,2017,
Tripura,150,59,265,Car/Jeep/Taxi,2017,
Uttarakhand,548,350,647,Car/Jeep/Taxi,2017,
Uttar Pradesh,7835,4115,5249,Car/Jeep/Taxi,2017,
